mcp-security-gateway  | 2026-02-16T03:41:46.910807922Z 2026/02/16 03:41:46 OPA policies loaded successfully from /config/opa
mcp-security-gateway  | 2026-02-16T03:41:46.921006297Z 2026/02/16 03:41:46 Destination allowlist loaded from /config/destinations.yaml (entries=10, api.groq.com_allowed=true)
mcp-security-gateway  | 2026-02-16T03:41:46.974746630Z 2026/02/16 03:41:46 SPIKE Nexus mTLS: using client SVID spiffe://poc.local/gateways/mcp-security-gateway/dev
mcp-security-gateway  | 2026-02-16T03:41:46.974753797Z 2026/02/16 03:41:46 SPIKE Nexus: mTLS configured via SPIRE X509Source
mcp-security-gateway  | 2026-02-16T03:41:46.974942214Z 2026/02/16 03:41:46 [tool-registry] WARNING: Registry hot-reload is enabled WITHOUT attestation. Unsigned updates will be accepted.
mcp-security-gateway  | 2026-02-16T03:41:46.974947130Z 2026/02/16 03:41:46 [tool-registry] watching /config/tool-registry.yaml for changes (attestation: DISABLED)
mcp-security-gateway  | 2026-02-16T03:41:46.974948255Z 2026/02/16 03:41:46 SPIFFE mode: dev
mcp-security-gateway  | 2026-02-16T03:41:46.974948964Z 2026/02/16 03:41:46 enforcement profile: dev (mediation_gate=true hipaa_prompt_safety_gate=true)
mcp-security-gateway  | 2026-02-16T03:41:46.976995672Z 2026/02/16 03:41:46 {"timestamp":"2026-02-16T03:41:46Z","session_id":"","decision_id":"","trace_id":"","spiffe_id":"","action":"model.provider_catalog.load","result":"status=pass version=v2.0.0 digest=6e6b44b416027e500f7c6c7a5abce4f55787c637058912a55dd2405558dbb9d3 signature_verified=false path=/config/model-provider-catalog.v2.yaml","method":"","path":"","prev_hash":"e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:41:46.978323922Z 2026/02/16 03:41:46 Starting MCP Security Gateway (HTTP) on port 9090
mcp-security-gateway  | 2026-02-16T03:41:46.978329505Z 2026/02/16 03:41:46 Upstream MCP server: http://mock-mcp-server:8082
mcp-security-gateway  | 2026-02-16T03:41:46.978330630Z 2026/02/16 03:41:46 OPA policy directory: /config/opa
mcp-security-gateway  | 2026-02-16T03:42:24.083714884Z 2026/02/16 03:42:24 {"timestamp":"2026-02-16T03:42:24Z","session_id":"30b71bca-57df-4090-8eaa-813cec08385a","decision_id":"37494056-f3d9-4869-97d5-461c43db969d","trace_id":"05e2f30a-4b55-4b25-a72a-924a6e857dba","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"b81d6202389be21e0e7baf3858eb858197d450d5e230b6c9e67a70f362fef1b7","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.143764468Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"e86535db-3a5d-45bb-a450-03ec7e565498","decision_id":"8e48584e-b924-43f3-b67a-ab199cd21c6c","trace_id":"66fd8242-9677-424a-981b-015f7be55341","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"9c861e9fce63711e6a22c9979b1a63d12f2e8d834e78d11bc1f4836f0cc612b2","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.166970385Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"397b5523-db8c-47f5-a741-7de755914935","decision_id":"24e0a5fb-ada7-49a6-bd9b-30a6e8c4886a","trace_id":"e9e75ea5-6549-42cb-b15f-5cbb29c1e663","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"01a5b3f4c906373fdf101e6f0075af55f5a89b06db4028c614a917dbc63926bb","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.193599343Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"a2fc1bab-97a4-4828-a583-3cb9c3296489","decision_id":"1d65c6fd-b52a-42e1-af7a-9828188b4218","trace_id":"e608f510-7097-4c89-9c89-f653230677a9","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"1295a028a439deddc0df8fcbb2f06d003b07decf6ad218e0a03d3a40c7559f34","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.381899635Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"edd45d07-cca5-40bd-945d-0205018aa9b6","decision_id":"98c178f4-9358-4319-b8cb-f436e877a05b","trace_id":"e7af98dd-6440-4701-8141-eb03da4444ff","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"step_up_gating","result":"gate=step_up allowed=true total_score=4 impact=1 reversibility=1 exposure=2 novelty=0 reason=step-up controls passed (guard model unavailable - fail open for medium risk)","method":"POST","path":"/","prev_hash":"d5518ae23c504175f1b53feaac36ab46b6f04099469e038188ccbfbc2ba36057","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.383974843Z [AUDIT] Internal tool response: tool=tavily_search
mcp-security-gateway  | 2026-02-16T03:42:26.386212135Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"edd45d07-cca5-40bd-945d-0205018aa9b6","decision_id":"98c178f4-9358-4319-b8cb-f436e877a05b","trace_id":"e7af98dd-6440-4701-8141-eb03da4444ff","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":200,"security":{"tool_hash_verified":false},"prev_hash":"97460eac607b389e310c51f53a1864e52bd33b9441ad20b9902ecb0f8fa1287f","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.535057093Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"395e86cf-8849-475f-9cef-9918bd007c30","decision_id":"576f8a03-3128-43c0-8fad-92685092427a","trace_id":"9a57d24a-1e55-4336-a9f6-805935dab5b9","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"5ed81f7b10503adc5fddd9a1c8a31d7bdf6d505b5c5b9db7bc501cda4e9e9b30","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.560757176Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.request","result":"request_id=apr-b39d795f-c16b-4f12-8415-965d57dafcfa action=tool.call resource=bash requested_by=spiffe://poc.local/agents/mcp-client/dspy-researcher/dev ttl_seconds=120","method":"","path":"","status_code":200,"prev_hash":"9eac20303265a3753a27d01701df70d452072a87cef3dc4b3208a8f30aea19be","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.560796968Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"f765b045-7bfe-41dc-b357-9087de4bcc6a","decision_id":"4abdfbd6-ffb7-48b1-b019-9e7e2a79b753","trace_id":"d9540d3f-0149-489a-a82c-15aebce1cdf7","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/admin/approvals/request","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"b9f9c45c26d9a936fc16bf8146d79436664f467442a6bbdc0299260cdf9f37a0","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.605539926Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.grant","result":"request_id=apr-b39d795f-c16b-4f12-8415-965d57dafcfa approved_by=security@corp reason=approved for controlled test nonce=073ce121-69a8-4702-806e-c1e0ac2e2980","method":"","path":"","status_code":200,"prev_hash":"37d0f9f516fcfa2f521a0462536ac1760a0e54e652c86c24dc71b30fbe959ced","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.605564843Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"7d879394-131c-4574-90b3-b1d0ff697224","decision_id":"431a21ad-ef9e-4d56-86ff-254ff1e1cc8c","trace_id":"adab2ca7-cf97-4874-a5e7-810829b1c18f","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/admin/approvals/grant","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"80519c949ba5ed741a412416cf1670b77ceb8fc5c4c845f0aa77e7b277fe4d69","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.649911968Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"d3f75fc4-a146-4e80-968d-c348e456fb7d","decision_id":"4fa0730f-b95c-4a13-a7ef-29e9e32207c8","trace_id":"7b4b86df-0e5e-4e27-8c17-7997e815336a","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/","status_code":403,"security":{"tool_hash_verified":false},"prev_hash":"81107a42be1b42e87d802b2c99974b2d89fd67888613c47ecbb908a701ec8d78","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.697006427Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346-phase3","decision_id":"3378dec4-a519-477e-b6ae-eb6864d34a35","trace_id":"b6ce2c7c-57a6-4569-b00f-c65f7967f979","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"plane.tool.decision","result":"run_id=approval-1771213346-phase3-deny decision=step_up reason_code=TOOL_STEP_UP_REQUIRED","method":"POST","path":"/v1/tool/execute","status_code":428,"prev_hash":"6c3a7fcfff96c01c9d1173ee920bd3ce8185bb5e62125dc9b9035a0009383ad9","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.697037927Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"37dbfc4a-a39f-4bda-9ca3-86cdecbc30e0","decision_id":"3378dec4-a519-477e-b6ae-eb6864d34a35","trace_id":"b6ce2c7c-57a6-4569-b00f-c65f7967f979","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/v1/tool/execute","status_code":428,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"ad5aff91fc06edb6603189e48dc89c49247a34e671b76f1925e5642a631ef7dc","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.744091802Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346-phase3","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.request","result":"request_id=apr-68ac4826-6b4e-44ce-b330-4308694d20bc action=tool.execute resource=tool/write requested_by=spiffe://poc.local/agents/mcp-client/dspy-researcher/dev ttl_seconds=120","method":"","path":"","status_code":200,"prev_hash":"8d1bcd40e28eb80ecb636bd94b84dd2f901924752a32da1c3f93b7df3477864e","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.744118552Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"557e5df8-f831-4ffa-b9d4-ce8feb6e71fc","decision_id":"68e2813d-555c-4dfa-bba7-15f89b6dccd7","trace_id":"69c53d34-eefd-4eed-8105-3a704747dc34","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/admin/approvals/request","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"617af7532871ce72d969d8daf82f3d9e2e1d05b5f25a6280b86a9ef23bd2ebd1","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.790328010Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346-phase3","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.grant","result":"request_id=apr-68ac4826-6b4e-44ce-b330-4308694d20bc approved_by=security@corp reason=approved phase3 tool step-up nonce=f1eaebfd-293c-4f59-bdc1-c3e0fcb75cf3","method":"","path":"","status_code":200,"prev_hash":"5cdf3131e0b14b53ddaeb3f922d604f944d4b356f7c0fcd0b3739c84cfcbb5bc","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.790365385Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"ec2a22b0-d620-466d-9b10-8be2846e2790","decision_id":"bd24e5ec-3cbe-469e-adb9-dcd9d4ddd8d1","trace_id":"241a378c-dc80-455a-b258-31642b875fb7","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/admin/approvals/grant","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"6fe10a81a84ed703af3d7c2e4f304f9b7c858df73023e261db7ed40029fc85de","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.837063427Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346-phase3","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.consume","result":"request_id=apr-68ac4826-6b4e-44ce-b330-4308694d20bc action=tool.execute resource=tool/write nonce=f1eaebfd-293c-4f59-bdc1-c3e0fcb75cf3","method":"","path":"","status_code":200,"prev_hash":"0cb962ac65bda422c7d59ba07006eda81d6c0c2e2ea6d685fc0ce242447675a0","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.837090468Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"approval-1771213346-phase3","decision_id":"f2b6a032-e12c-464a-93d3-3d5d4868e557","trace_id":"dc19f40a-2463-4eae-9220-3bbd0ba2f225","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"plane.tool.decision","result":"run_id=approval-1771213346-phase3-allow decision=allow reason_code=TOOL_ALLOW","method":"POST","path":"/v1/tool/execute","status_code":200,"prev_hash":"8d7d930be845ebb8767982c45b4193118820b7efe2c8a293f2fc962649de3b8e","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:26.837094802Z 2026/02/16 03:42:26 {"timestamp":"2026-02-16T03:42:26Z","session_id":"9283c8ec-b55d-4931-bdee-c0346183a3c4","decision_id":"f2b6a032-e12c-464a-93d3-3d5d4868e557","trace_id":"dc19f40a-2463-4eae-9220-3bbd0ba2f225","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/v1/tool/execute","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"27745f08a9d642a3cbee97f68400e0bd51f36df573db5369366be6f99bb67b6e","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:27.281234260Z 2026/02/16 03:42:27 {"timestamp":"2026-02-16T03:42:27Z","session_id":"approval-1771213346","decision_id":"","trace_id":"","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"approval.consume","result":"request_id=apr-b39d795f-c16b-4f12-8415-965d57dafcfa action=tool.call resource=bash nonce=073ce121-69a8-4702-806e-c1e0ac2e2980","method":"","path":"","status_code":200,"prev_hash":"552ca6e777b56d6ef4587d6c2d80c5113de344dccfc49d1b118222270f4c95da","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
mcp-security-gateway  | 2026-02-16T03:42:27.281373427Z 2026/02/16 03:42:27 {"timestamp":"2026-02-16T03:42:27Z","session_id":"2b971b24-e93e-4bd6-baf2-b52fe98673b6","decision_id":"c6466e62-5915-4227-8c44-df805c9f1df3","trace_id":"8893a59f-5bac-400c-afad-741c20795b62","spiffe_id":"spiffe://poc.local/agents/mcp-client/dspy-researcher/dev","action":"mcp_request","result":"completed","method":"POST","path":"/admin/approvals/consume","status_code":200,"security":{"tool_hash_verified":false,"safezone_flags":["potential_pii"]},"prev_hash":"a656061d2edd580457fac24c348d71f3eb92568ca6b468cf984d37c9d5356fed","bundle_digest":"a78a79ba46b4b6a255b4f9b675f6f503cc628fd2bc0fb86e0c39ff91af45af80","registry_digest":"839592bae946e7a3516f24b8f9586fe6a748550a738f294632db32b9edf033a4"}
